timestamp,x,y,z
69685,-0.72505116,-0.35893622,9.554882
69704,-0.57429796,-0.43550926,9.6003475
69724,-0.51208234,-0.57669085,9.624276
69744,-0.6293348,-0.46183127,9.574025
69763,-0.75376606,-0.39961565,9.755886
69782,-0.7992313,-0.40200856,9.84921
69802,-0.83991075,-0.2368979,9.6410265
69821,-0.8231604,-0.026321989,9.30602
69841,-0.7776951,0.0598227,9.507024
69860,-0.5551547,-0.17228939,9.894675
69880,-0.4450809,-0.07896597,9.990392
69899,-0.36850783,0.07657306,9.851603
69919,-0.30389932,0.24407662,9.818102
69938,-0.26082698,0.34457877,9.978427
69958,-0.40679437,0.36611494,10.275147
69977,-0.48815325,0.25364825,10.82073
69998,-0.5623334,0.18425392,10.875768
70017,-0.57429796,0.30389932,10.514439
70037,-0.4139731,0.32064968,9.796566
70057,-0.2967206,0.28236315,9.605133
70077,-0.3828653,0.31586388,9.303627
70096,-0.45225963,0.40679437,9.200731
70116,-0.46661708,0.3326142,9.243804
70136,-0.5240469,0.3326142,9.483095
70155,-0.63172776,0.37568656,9.605133
70174,-0.69633627,0.43790218,9.662563
70194,-0.677193,0.33740005,9.844424
70213,-0.53840435,0.20339718,9.827674
70233,-0.56711924,0.24407662,9.688885
70252,-0.40679437,0.08375178,9.605133
70272,-0.34457877,0.06221561,9.789387
70291,-0.32064968,0.12443122,9.516596
70312,-0.4737958,0.47618872,9.483095
70331,-0.41875893,0.36611494,9.456773
70351,-0.42354473,0.41875893,9.748708
70371,-0.46661708,0.46422416,9.861175
70390,-0.48815325,0.5168682,10.179431
70409,-0.45704544,0.39004403,10.308648
70429,-0.54558307,0.31347096,10.65562
70448,-0.6460852,0.1172525,11.007378
70468,-0.677193,0.055036888,11.797037
70487,-0.7633377,0.06221561,11.186846
70507,-0.859054,0.6676214,10.770479
70526,-0.70112205,0.63651353,9.999963
70546,-0.86862564,0.4091873,10.624512
70565,-0.80641,-0.035893623,11.832931
70585,-0.6389065,-0.19621846,11.196417
70604,-0.5431901,-0.20100428,10.390007
70625,-0.43790218,-0.30629224,10.447436
70644,-0.4785816,-0.60779864,10.299076
70664,-0.42115182,-1.222776,10.40915
70684,-0.33022133,-1.5171037,10.567082
70704,-0.13400285,-1.3663505,9.47113
70723,-0.25604117,-1.196454,8.17896
70743,-0.442688,-1.0648441,8.233996
70763,-0.6460852,-1.1485959,8.57379
70782,-0.99305683,-1.3208853,9.0571575
70801,-1.1820966,-1.7037506,9.679314
70821,-1.0815945,-1.9478272,10.239254
70840,-1.0289505,-1.7563945,9.959284
70860,-0.8279462,-1.5769265,9.786994
70879,-0.78487384,-1.0552725,9.447201
70899,-0.80641,-0.650871,9.049978
70918,-0.84948236,-0.14118157,8.753258
70939,-0.911698,0.19143265,8.889653
70958,-0.885376,0.20100428,9.15766
70978,-0.8542682,0.234505,9.368236
70998,-0.6389065,-0.110073775,9.349092
71017,-0.3565433,-0.39961565,9.624276
71036,-0.28475606,-0.43790218,9.679314
71056,-0.4139731,-0.34218585,9.408915
71075,-0.60779864,-0.07896597,9.126552
71095,-0.8734115,-0.011964541,9.4495945
71114,-1.196454,0.09332342,9.7917795
71134,-1.3113136,0.12921704,9.844424
71153,-1.4357449,0.4139731,9.6003475
71173,-1.1725249,0.416366,9.310805
71192,-0.9763065,0.39004403,9.243804
71212,-0.7130866,0.16511066,9.612311
71231,-0.48336744,-0.033500712,10.102858
71252,-0.57669085,-0.36372203,10.892518
71271,-0.6101916,-0.7130866,11.804215
71291,-0.66283554,-0.8279462,12.309119
71311,-0.598227,-0.5049036,12.146401
71331,-0.8542682,0.27279153,10.251218
71350,-1.2395264,0.442688,10.679549
71370,-0.9834852,0.021536173,11.459637
71390,-0.57669085,0.15553902,10.480937
71409,-0.60779864,0.2967206,10.421115
71428,-0.7968384,-0.78487384,11.847288
71448,-1.0050215,-1.5769265,13.498395
71467,-0.75376606,-1.6199988,12.127258
71487,-0.55754757,-1.0504867,9.205518
71506,-0.3254355,-0.7896597,7.4586945
71526,0.014357449,-1.0552725,7.2648687
71545,0.21775463,-1.380708,8.013849
71566,0.36850783,-1.6606783,8.683864
71585,0.5647263,-1.8856115,9.224661
71605,0.6484781,-2.1416528,9.772636
71625,0.46422416,-1.9502201,10.43308
71644,0.2967206,-1.718108,10.246432
71663,-0.08614469,-0.9475916,9.363449
71683,-0.41875893,-0.35415038,8.662328
71702,-0.6867646,0.17707519,8.303391
71722,-0.9164838,0.50968945,8.0617075
71741,-1.0337363,0.6221561,8.346463
71761,-0.9834852,0.54558307,8.777187
71780,-0.7992313,0.42115182,9.064336
71800,-0.6556568,0.39722276,9.040407
71819,-0.42115182,0.3565433,9.076301
71839,-0.32064968,0.13639577,9.380199
71858,-0.2392908,-0.09332342,9.961677
71879,-0.22971918,-0.1483603,10.401972
71898,-0.34697166,0.052643977,10.227289
71918,-0.3828653,0.105287954,10.088501
71938,-0.48097453,0.069394335,10.351721
71958,-0.44747382,-0.09571633,10.746551
71977,-0.47618872,-0.26082698,11.012163
71997,-0.24407662,-0.37090075,10.990627
72017,-0.25604117,0.055036888,10.002356
72036,-0.47140288,-0.12443122,10.504867
72055,-0.84708947,-0.49293905,12.072222
72075,-0.7968384,-0.8183746,12.603447
72094,-1.2610626,-0.69633627,11.849681
72114,-1.1653463,-1.1414171,12.847524
72133,-0.4450809,-2.0363648,11.746786
72153,0.20339718,-1.5984626,9.514202
72172,0.14357449,-1.2897775,7.4563017
72193,-0.17707519,-1.1797037,7.3079414
72212,-0.86862564,-1.2395264,8.600112
72232,-1.328064,-1.6750357,9.983212
72252,-1.5027462,-1.6989647,10.80398
72271,-1.301742,-1.4931747,10.579046
72290,-0.94280577,-1.0983448,9.80853
72310,-0.7106937,-0.6389065,8.863332
72329,-0.571905,-0.39961565,8.233996
72349,-0.4737958,-0.11485959,8.068886
72368,-0.48576033,0.17707519,8.071279
72388,-0.45225963,0.13160995,8.265104
72407,-0.39961565,0.16271774,8.616862
72428,-0.30389932,0.19621846,8.789151
72447,-0.32064968,0.25364825,8.908797
72467,-0.27518442,0.12203831,9.124159
72487,-0.41875893,0.028714897,9.456773
72506,-0.5886554,-0.016750356,9.801352
72525,-0.8255533,0.07418015,9.856388
72545,-1.0026284,0.26082698,9.873138
72564,-1.0528796,0.40679437,9.94014
72584,-1.0815945,0.7489802,9.672134
72603,-1.1533817,0.8877689,9.559668
72623,-0.93562704,0.5599405,10.016713
72642,-0.7226582,0.09571633,10.760908
72663,-0.7609448,-0.21296883,11.586461
72682,-0.90691215,-0.16271774,11.832931
72702,-0.6101916,0.33740005,10.65562
72722,-0.9786994,0.30150643,10.756122
72742,-0.66044265,-0.2584341,11.962148
72761,0.07657306,-0.8710185,12.239725
72781,0.05025107,-1.2490981,12.512516
72801,0.088537596,-1.9502201,13.783151
72820,0.4737958,-1.9454343,12.711128
72839,0.43550926,-1.1557746,9.612311
72859,0.39722276,-0.6269419,8.375178
72878,0.6101916,-1.1007377,8.571397
72898,0.4139731,-1.3400285,9.451987
72917,0.27279153,-1.5027462,9.889889
72937,0.11485959,-1.5147108,9.84921
72956,-0.10050214,-1.380708,9.643419
72976,-0.2680057,-0.90691215,9.081086
72995,-0.2943277,-0.6748001,8.379964
73015,-0.40440148,-0.34697166,7.6644845
73034,-0.48097453,0.06221561,7.468266
73055,-0.5240469,0.30868515,7.5831256
73074,-0.6795859,0.4977249,7.896597
73094,-0.6652284,0.4977249,8.34407
73114,-0.53840435,0.30629224,8.616862
73133,-0.5264398,0.24886245,8.772401
73152,-0.4498667,0.27757734,8.825045
73172,-0.46183127,0.12921704,9.250982
73191,-0.30150643,0.021536173,9.5907755
73211,-0.15553902,0.069394335,9.502238
73230,-0.19143265,0.2632199,9.538132
73250,-0.17468229,0.5551547,9.495059
73269,-0.53840435,0.8446966,9.803744
73290,-0.598227,0.63651353,10.442651
73309,-0.74658734,0.2057901,11.780287
73329,-0.75855184,-0.51926106,12.488587
73349,-0.7633377,-0.7513731,12.79488
73369,-0.6556568,0.1196454,11.450066
73388,-0.832732,-0.11485959,10.287112
73408,-1.2203832,-0.035893623,11.277776
73428,-1.0911661,-1.0696299,12.426372
73447,-1.3160994,-1.9765421,14.551274
73466,-0.27518442,-2.969599,14.673312
73486,0.33979294,-2.3665862,10.55751
73505,0.17707519,-1.2538838,7.0710435
73525,-0.28714898,-1.0696299,5.518046
73544,-0.75615895,-1.0480938,7.1763315
73564,-1.4740313,-1.0624512,8.5546465
73583,-1.6750357,-1.0217718,9.255769
73604,-1.4764243,-0.9093051,9.432844
73623,-1.119881,-0.8829831,9.84921
73643,-0.6460852,-1.0385221,10.102858
73663,-0.2584341,-1.2467052,9.913818
73682,-0.17946811,-0.93084127,9.648206
73701,-0.19143265,-0.4737958,8.990156
73721,-0.3254355,-0.07896597,8.624041
73740,-0.27757734,-0.002392908,8.35125
73760,-0.42115182,0.33022133,8.379964
73779,-0.33979294,0.34936458,8.308177
73799,-0.32064968,0.48576033,8.303391
73818,-0.2632199,0.5001178,8.245961
73838,-0.19382556,0.51926106,8.250747
73857,-0.25364825,0.45225963,8.700614
73877,-0.45225963,0.33979294,9.303627
73896,-0.5934412,0.48815325,9.52856
73917,-0.7705164,0.6532639,9.736743
73936,-0.81119585,0.70830077,10.196181
73956,-1.0720228,0.46661708,11.071986
73976,-1.2490981,0.110073775,12.249296
73996,-1.2802058,-0.3254355,13.283032
74015,-0.89734054,0.067001425,12.627376
74035,-0.81119585,0.028714897,11.349563
74055,-0.5623334,-0.15314612,12.19426
74074,0.08135887,-0.9021264,12.141616
74093,0.3613291,-0.650871,10.95234
74113,0.24407662,-0.99305683,11.091129
74132,0.5431901,-1.7803236,11.488352
74152,0.5264398,-1.3591717,10.363685
74171,0.17707519,-0.6389065,8.274676
74191,-0.016750356,-0.44747382,8.569004
74210,0.057429794,-1.1103094,9.844424
74231,-0.14357449,-1.277813,10.3924
74250,-0.040679436,-1.1725249,10.174645
74270,-0.16032484,-1.1270597,9.662563
74290,-0.4139731,-0.78487384,9.320377
74309,-0.50968945,-0.677193,8.975799
74328,-0.5240469,-0.8255533,9.0571575
74348,-0.6652284,-0.7489802,8.686256
74367,-0.8159817,-0.46422416,8.430215
74387,-0.8901618,-0.21057591,8.207675
74406,-0.87580436,0.105287954,7.6764493
74426,-0.7633377,0.36372203,7.1476164
74445,-0.72983694,0.54558307,7.547232
74465,-0.56711924,0.36850783,8.451752
74484,-0.5551547,0.2967206,9.17441
74504,-0.40679437,0.0598227,9.440022
74523,-0.4115802,0.15314612,9.772636
74544,-0.42593765,0.34697166,9.763065
74563,-0.5072965,0.6389065,9.56206
74583,-0.63651353,0.7130866,9.753493
74603,-0.74658734,0.6293348,10.674763
74623,-0.7418015,0.071787246,11.753964
74642,-0.5599405,-0.10050214,12.732664
74662,-0.18186101,0.069394335,11.524245
74682,-0.21775463,-0.055036888,11.914289
74701,-0.42354473,-0.75615895,13.122708
74720,-0.63651353,-0.94280577,12.790093
74740,-1.0169859,-1.9406484,13.103564
74759,-0.60301286,-2.8762755,14.084657
74779,-0.24886245,-2.2086542,11.0672
74798,0.088537596,-1.3639576,6.6283555
74818,-0.34218585,-0.5025107,4.869568
74837,-0.97152066,-0.4091873,6.0995226
74858,-1.8616825,-0.66044265,6.999256
74877,-2.2828343,-1.0098072,9.507024
74897,-1.8975761,-1.6965718,11.830538
74917,-1.2969562,-1.9310769,12.335442
74936,-0.63412064,-1.9406484,11.316062
74955,-0.30868515,-1.4022441,10.169859
74975,-0.19143265,-0.8734115,8.6551485
74994,-0.25364825,-0.27757734,7.779344
75014,-0.28954187,-0.033500712,7.6668777
75033,-0.34697166,0.34457877,7.733879
75053,-0.57429796,0.81119585,7.65252
75072,-0.45465255,0.8351249,7.910954
75092,-0.43790218,0.71787244,8.60729
75111,-0.45704544,0.4785816,9.317985
75131,-0.6293348,0.52165395,9.832459
75150,-0.82076746,0.5025107,10.141145
75171,-0.9571632,0.5049036,10.1435375
75190,-1.0289505,0.64369226,9.966462
75210,-0.89494765,0.63651353,9.578811
75230,-0.86862564,0.59583414,9.880318
75250,-1.0600582,0.677193,10.342149
75269,-1.0050215,0.208183,11.0791645
75289,-1.0098072,-0.17707519,11.933433
75309,-0.6843717,0.27757734,11.916682
75328,-0.8925547,0.11485959,11.136594
75347,-1.0385221,0.3565433,12.321084
75367,-0.6221561,-0.21536173,12.644126
75386,-0.7992313,0.16271774,11.916682
75407,-0.8710185,-0.63172776,12.687199
75426,-0.40440148,-1.0624512,12.586697
75446,0.21536173,-0.78248096,10.1339655
75466,0.6460852,-0.5814767,7.8989897
75485,0.9188767,-1.0839874,8.379964
75504,0.95237744,-1.6606783,9.846817
75524,0.78487384,-1.8880045,10.4354725
75543,0.51208234,-1.7683591,10.351721
75563,0.12682413,-1.5003533,9.820495
75582,-0.2943277,-1.0624512,9.114587
75602,-0.43550926,-0.7130866,8.329713
75621,-0.7346228,-0.24886245,7.6214123
75641,-1.0361292,0.2967206,7.0949726
75660,-1.0122001,0.42833054,6.65707
75680,-1.1270597,0.59583414,7.0231853
75699,-1.067237,0.54079723,7.5113387
75720,-1.0457008,0.7059079,8.260319
75739,-1.0887731,1.1103094,8.889653
75759,-0.83033913,1.014593,9.289269
75779,-0.650871,0.99305683,9.669742
75798,-0.4737958,0.86862564,9.920997
75817,-0.23211208,0.8542682,9.971248
75837,-0.071787246,0.9284483,9.7415285
75856,0.069394335,1.1940612,9.52856
75876,-0.09093051,1.3783151,9.784601
75895,-0.3804724,1.14381,10.100465
75915,-0.48815325,0.60779864,11.103093
75934,-0.60779864,-0.17707519,12.347405
75955,-0.5288327,0.1172525,12.828381
75974,-0.5312256,-0.49533197,12.352192
75994,-0.67240715,-0.6532639,13.220818
76014,-0.5049036,-1.2371335,13.787936
76034,-0.72744405,-2.132081,14.122944
76053,-0.70830077,-2.4144442,14.417272
76073,-0.45943835,-1.6176059,11.325634
76093,-0.39722276,-0.5695121,6.700143
76112,-1.1222739,0.42115182,5.0155354
76131,-1.222776,0.25364825,6.637927
76151,-1.8042527,-0.42833054,8.298605
76170,-1.8353605,-0.7657306,10.275147
76190,-1.2132044,-1.14381,10.985841
76209,-0.63172776,-1.0815945,9.813316
76229,-0.25604117,-0.77530223,8.851367
76248,0.035893623,-0.6867646,8.418251
76268,0.028714897,-0.4139731,7.903775
76287,-0.12443122,-0.1459674,7.8750606
76307,-0.27279153,0.13160995,8.042564
76326,-0.34936458,0.27518442,8.23639
76347,-0.44747382,0.5599405,8.578575
76366,-0.54079723,0.5336185,8.935119
76386,-0.51926106,0.5814767,9.231839
76406,-0.46901,0.54079723,9.243804
76425,-0.51208234,0.49533197,9.485488
76444,-0.55036885,0.6006199,9.492666
76464,-0.69633627,0.89734054,9.5907755
76483,-0.7059079,0.9691278,9.526167
76503,-0.56711924,0.84230363,9.597955
76522,-0.6939433,0.6939433,9.861175
76542,-0.9499845,0.5599405,10.356506
76561,-1.1031306,0.15793194,11.557746
76582,-1.0361292,-0.016750356,12.32587
76601,-0.7896597,-0.05025107,11.268204
76621,-1.0026284,-0.27757734,12.914525
76641,-0.48336744,-1.3950654,14.548882
76661,-0.31586388,-1.0217718,13.464894
76680,-0.2368979,-1.0528796,12.378513
76700,0.016750356,-0.84708947,11.744393
76720,0.6173703,-0.5360114,9.284483
76739,0.598227,0.035893623,7.0231853
76758,0.74658734,-0.08614469,7.8750606
76778,0.82076746,-0.6795859,9.294055
76797,0.6173703,-0.89734054,10.078929
76817,0.35415038,-1.2323477,10.662799
76836,-0.16032484,-1.1366314,11.076772
76856,-0.6389065,-0.77530223,10.397185
76875,-0.9021264,-0.39722276,9.392164
76896,-1.0504867,0.110073775,7.78413
76915,-0.98827106,0.36850783,6.5996404
76935,-0.8710185,0.7226582,6.1067014
76955,-0.5551547,0.5527618,6.5733185
76974,-0.3254355,0.39961565,7.317513
76993,-0.27997026,0.34697166,8.107173
77013,-0.5431901,0.4498667,8.693435
77032,-0.39961565,0.44747382,9.215089
77052,-0.21296883,0.8710185,9.578811
77071,-0.2991135,0.9739136,9.583597
77091,-0.16271774,1.1150951,9.487881
77110,-0.25125536,1.0528796,9.559668
77130,-0.18903974,1.0480938,10.4259
77149,-0.09810923,0.84708947,10.892518
77169,0.031107806,0.49293905,10.710656
77188,0.023929082,0.20100428,11.048057
77209,0.2632199,0.15793194,11.229918
77228,0.35415038,0.105287954,10.646049
77248,-0.21296883,-0.38765112,12.335442
77268,-0.5647263,-1.3711363,15.23086
77288,-0.84708947,-1.7516087,15.874553
77307,-1.0457008,-2.2206187,15.130358
77327,-0.75855184,-1.7659662,13.625218
77347,-0.42593765,-1.0768087,9.313198
77366,-0.7944455,-0.03828653,5.1423593
77385,-1.6606783,0.43550926,5.4510446
77405,-1.9286839,-0.6173703,8.602505
77424,-2.0937946,-1.1055236,10.770479
77444,-1.5673548,-1.5506045,12.3833
77463,-0.81119585,-1.4453164,10.832695
77483,-0.42833054,-0.6221561,8.856153
77502,0.0,-0.40679437,7.9013824
77523,0.16511066,-0.33979294,7.370157
77542,0.10050214,-0.07896597,7.185903
77562,0.0598227,0.16989647,7.2648687
77582,-0.08375178,0.5168682,7.31512
77601,-0.12921704,0.5527618,7.592697
77620,-0.08375178,0.56711924,7.97317
77640,0.043072347,0.416366,8.377571
77659,0.069394335,0.30868515,8.772401
77679,0.052643977,0.18903974,9.463951
77698,-0.13878867,0.21296883,9.708028
77718,-0.07418015,0.10289505,10.035856
77737,-0.35415038,0.43550926,9.806137
77757,-0.55036885,0.9164838,9.574025
77776,-0.78248096,1.1485959,9.619491
77796,-0.9451987,1.0600582,10.390007
77815,-1.0002356,0.75615895,11.246668
77836,-0.6819788,0.5838696,12.246903
77855,-0.93323416,0.1172525,11.998041
77875,-0.94280577,0.040679436,13.912368
77895,-0.15314612,-0.63651353,13.890832
77915,0.023929082,-0.045465253,11.694141
77934,-0.055036888,-0.66044265,11.856859
77954,-0.040679436,-1.3878866,13.4026785
77974,0.19382556,-1.1653463,11.234703
77993,0.38765112,-0.27757734,8.305784
