timestamp,x,y,z
1355431,0.9140909,0.23211208,11.019341
1355450,0.6580497,-0.5168682,11.473994
1355470,-0.42833054,1.2849916,13.563004
1355489,-1.3472073,2.8427749,13.493608
1355509,-0.7968384,1.6534995,13.419429
1355528,-0.3517575,-0.110073775,13.622826
1355548,-0.47618872,0.1172525,14.48188
1355567,-0.49054617,1.0959519,15.762086
1355588,0.18903974,1.2203832,16.915468
1355607,0.30868515,-0.17228939,15.080107
1355627,-0.023929082,-0.18186101,13.70897
1355647,-0.42115182,0.78008807,13.127494
1355666,-0.46183127,1.3926725,12.876239
1355685,-0.0071787243,1.0552725,13.29739
1355705,0.03828653,0.677193,12.476623
1355724,-0.41875893,0.6676214,11.505102
1355745,-0.7154795,0.99066395,10.313434
1355764,-0.78248096,1.1797037,9.80853
1355784,-0.62454903,0.9140909,9.203125
1355804,-0.5695121,0.75615895,9.229446
1355823,-0.57429796,0.7154795,8.889653
1355842,-0.19621846,0.39004403,8.877689
1355862,0.047858164,0.45225963,9.483095
1355881,-0.069394335,0.5431901,9.399343
1355902,-0.20100428,0.89494765,9.56206
1355921,0.06221561,1.1103094,10.172253
1355941,0.4115802,0.9691278,10.327791
1355961,0.4498667,0.77290934,10.416329
1355980,0.36372203,0.7106937,10.368471
1355999,0.5551547,0.50968945,10.052607
1356019,0.7106937,0.30868515,9.796566
1356038,0.84708947,0.17946811,10.117215
1356058,0.9021264,0.2368979,10.2344675
1356077,0.7441944,0.28236315,9.782208
1356097,0.6460852,0.3254355,9.626669
1356116,0.5647263,0.40200856,9.844424
1356136,0.5049036,0.5072965,9.810924
1356155,0.5838696,0.48815325,9.760673
1356175,0.63172776,0.5312256,9.60274
1356194,0.39722276,0.54797596,9.830067
1356215,0.54558307,0.37090075,9.904246
1356234,0.6532639,0.11246668,10.155502
1356254,0.54079723,0.22493336,9.820495
1356274,0.40440148,0.39722276,9.686492
1356293,0.45465255,0.40679437,9.684099
1356312,0.46661708,0.30389932,9.624276
1356332,0.3852582,0.27518442,9.897068
1356351,0.36850783,0.416366,9.6912775
1356372,0.45704544,0.22254045,9.839638
1356391,0.42593765,0.1459674,9.95689
1356411,0.33500713,0.34457877,9.985605
1356431,0.22014755,0.39004403,9.84921
1356450,0.19382556,0.39961565,9.851603
1356469,0.16750357,0.39004403,9.827674
1356489,0.06221561,0.54797596,9.98082
1356508,0.05025107,0.5072965,9.827674
1356529,0.18186101,0.2943277,9.775029
1356548,0.24886245,0.3517575,9.69367
1356568,0.14357449,0.3804724,9.67692
1356588,0.15793194,0.31586388,9.739136
1356607,0.14357449,0.37807947,9.815709
1356626,0.22732627,0.5336185,9.839638
1356646,0.27757734,0.42593765,10.0334635
1356665,0.36372203,0.2967206,9.928176
1356685,0.27279153,0.3804724,9.803744
1356704,0.17707519,0.5144752,9.789387
1356724,0.19861138,0.45465255,9.839638
1356743,0.2392908,0.33740005,9.803744
1356764,0.31825677,0.3517575,9.973641
1356783,0.2680057,0.43550926,9.906639
1356803,0.2584341,0.38765112,9.916211
1356823,0.30150643,0.33500713,9.86596
1356842,0.28236315,0.45704544,9.777423
1356861,0.19382556,0.5814767,9.786994
1356881,0.1483603,0.4450809,9.944926
1356900,0.17946811,0.3326142,9.789387
1356920,0.17228939,0.38765112,9.901854
1356939,0.22493336,0.20339718,9.837245
1356959,0.2392908,0.18664683,9.964069
1356978,0.09332342,0.36850783,10.457008
1356999,-0.014357449,0.3230426,10.835088
1357018,-0.208183,0.6748001,11.928647
1357038,0.48336744,0.35415038,13.694613
1357058,1.6343563,0.5312256,16.02052
1357078,2.9504557,1.2873845,21.981255
1357097,4.1804104,1.9215052,28.664646
1357117,3.7975452,1.6893932,34.2138
1357137,1.6989647,2.9121692,33.15135
1357156,0.42593765,2.8690968,31.162842
1357175,0.011964541,0.84948236,32.720627
1357195,1.117488,-2.6537352,33.49832
1357214,0.46422416,-8.937511,28.925472
1357234,-2.1990826,-10.930804,17.70752
1357253,-3.359643,-8.901618,11.258633
1357273,-2.5293038,-7.0710435,5.857839
1357292,-0.8901618,-4.058372,2.9337053
1357312,0.703515,-2.6345918,-0.16271774
1357331,2.711165,-3.3716075,0.16511066
1357351,3.7807949,-4.139731,-1.2347406
1357370,3.22564,-3.8430104,-1.1270597
1357391,1.61282,-1.0792016,-2.4694812
1357410,0.052643977,0.7346228,-2.1201165
1357430,-0.68915755,1.5841051,-1.4692456
1357450,-0.9786994,1.6247846,1.3759222
1357469,-2.0435436,1.5793194,2.1033661
1357488,-2.3474429,0.026321989,2.0339718
1357508,-2.6130557,-2.0028641,4.36945
1357527,-2.7279153,-2.7662017,4.9341764
1357547,-2.0267932,-2.9480627,4.051193
1357566,-1.1773108,-1.0361292,4.381415
1357586,-0.31825677,0.80880296,2.4407663
1357605,0.82076746,1.4189945,0.75615895
1357625,1.926291,0.8734115,0.9451987
1357644,2.290013,1.0959519,1.8114314
1357664,1.8449322,1.8210031,3.9985495
1357683,1.251491,2.5364826,5.2572193
1357704,1.5218896,1.5266753,6.8532887
1357723,1.2371335,1.509925,7.3581924
1357743,1.0122001,1.9669704,8.147852
1357763,0.78248096,2.4551237,7.946848
1357783,0.57429796,2.4670882,8.767615
1357802,0.42115182,2.3618002,9.461558
1357822,0.86623275,1.380708,9.231839
1357842,1.2802058,0.9021264,9.085872
1357861,1.1246668,0.8542682,8.686256
1357880,0.75376606,1.0457008,9.844424
1357900,0.7705164,0.90691215,9.617098
1357919,0.6843717,0.99066395,9.779816
1357939,0.69155043,0.96434194,10.148323
1357958,1.1844895,0.3828653,9.885103
1357978,1.6558924,-0.63172776,10.272755
1357997,1.6463208,-0.7346228,9.806137
1358018,1.4501023,-0.03828653,9.657777
1358037,1.3519931,0.3565433,9.478309
1358057,1.0911661,0.6867646,10.0932865
1358077,0.99305683,0.703515,10.270362
1358096,1.328064,0.24886245,10.105251
1358115,1.5553902,-0.014357449,9.779816
1358135,1.7803236,-0.17228939,9.913818
1358154,1.9693633,-0.50968945,9.571632
1358174,1.8616825,-0.5886554,9.408915
1358193,1.2490981,0.28954187,9.82528
1358213,0.90451926,0.92366254,10.14593
1358232,0.86623275,0.8231604,10.27754
1358253,0.92366254,0.63651353,9.806137
1358272,1.0863802,0.25125536,9.932961
1358292,1.0863802,0.18186101,9.813316
1358312,1.0839874,0.34697166,9.578811
1358332,1.0696299,0.6867646,9.337128
1358351,1.0552725,0.37807947,9.483095
1358371,0.93802,0.3804724,9.557275
